,Head x,Neck x,Right Shoulder x,Right Elbow x,Right Wrist x,Left Shoulder x,Left Elbow x,Left Wrist x,Right Hip x,Right Knee x,Right Ankle x,Left Hip x,Left Knee x,Left Ankle x,Chest x,Head y,Neck y,Right Shoulder y,Right Elbow y,Right Wrist y,Left Shoulder y,Left Elbow y,Left Wrist y,Right Hip y,Right Knee y,Right Ankle y,Left Hip y,Left Knee y,Left Ankle y,Chest y
0,422.0,406.0,391.0,406.0,406.0,406.0,406.0,406.0,406.0,391.0,391.0,406.0,391.0,391.0,406.0,93.0,135.0,156.0,208.0,250.0,156.0,198.0,250.0,229.0,302.0,375.0,229.0,302.0,365.0,198.0
1,422.0,406.0,406.0,422.0,453.0,406.0,406.0,406.0,406.0,391.0,391.0,391.0,406.0,391.0,406.0,93.0,135.0,146.0,198.0,229.0,146.0,198.0,219.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
2,422.0,406.0,406.0,422.0,469.0,406.0,406.0,438.0,391.0,391.0,391.0,391.0,406.0,391.0,391.0,93.0,135.0,146.0,187.0,198.0,146.0,187.0,198.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
3,422.0,406.0,406.0,438.0,469.0,406.0,422.0,453.0,391.0,391.0,391.0,375.0,406.0,406.0,391.0,93.0,135.0,146.0,187.0,177.0,146.0,187.0,187.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
4,438.0,422.0,406.0,438.0,469.0,406.0,438.0,453.0,375.0,406.0,391.0,375.0,406.0,391.0,391.0,104.0,146.0,156.0,198.0,177.0,156.0,187.0,187.0,240.0,302.0,375.0,240.0,302.0,365.0,198.0
5,438.0,422.0,406.0,453.0,469.0,406.0,438.0,453.0,360.0,406.0,391.0,360.0,406.0,391.0,391.0,125.0,166.0,177.0,208.0,177.0,177.0,208.0,187.0,250.0,302.0,375.0,250.0,302.0,365.0,208.0
6,438.0,422.0,406.0,453.0,469.0,422.0,438.0,469.0,360.0,422.0,391.0,360.0,406.0,391.0,391.0,146.0,177.0,187.0,219.0,187.0,187.0,229.0,187.0,260.0,313.0,375.0,260.0,313.0,365.0,229.0
7,438.0,422.0,406.0,453.0,469.0,422.0,453.0,469.0,344.0,422.0,391.0,360.0,422.0,391.0,391.0,156.0,198.0,208.0,240.0,198.0,208.0,240.0,187.0,271.0,313.0,375.0,271.0,313.0,365.0,240.0
8,438.0,422.0,406.0,453.0,469.0,438.0,453.0,469.0,344.0,344.0,391.0,360.0,422.0,391.0,391.0,166.0,208.0,219.0,250.0,208.0,219.0,250.0,198.0,271.0,344.0,375.0,281.0,313.0,375.0,250.0
9,438.0,422.0,422.0,469.0,469.0,438.0,469.0,469.0,344.0,360.0,391.0,360.0,422.0,391.0,391.0,177.0,219.0,229.0,250.0,219.0,219.0,250.0,198.0,281.0,344.0,375.0,281.0,313.0,375.0,250.0
10,438.0,422.0,406.0,469.0,469.0,422.0,469.0,469.0,360.0,422.0,391.0,360.0,422.0,391.0,391.0,166.0,208.0,219.0,250.0,208.0,219.0,250.0,198.0,281.0,313.0,375.0,281.0,313.0,375.0,250.0
11,438.0,422.0,406.0,453.0,469.0,422.0,469.0,469.0,360.0,422.0,391.0,360.0,422.0,391.0,391.0,156.0,198.0,208.0,229.0,198.0,208.0,229.0,187.0,271.0,313.0,375.0,271.0,313.0,365.0,240.0
12,438.0,422.0,406.0,453.0,469.0,406.0,391.0,469.0,360.0,422.0,391.0,360.0,406.0,391.0,391.0,135.0,177.0,198.0,219.0,198.0,198.0,229.0,187.0,260.0,313.0,375.0,260.0,313.0,365.0,229.0
13,422.0,406.0,406.0,453.0,375.0,391.0,344.0,375.0,360.0,406.0,391.0,360.0,406.0,391.0,375.0,125.0,156.0,177.0,198.0,187.0,177.0,208.0,208.0,250.0,302.0,375.0,250.0,302.0,365.0,208.0
14,422.0,406.0,406.0,453.0,485.0,406.0,391.0,391.0,375.0,406.0,391.0,375.0,406.0,391.0,391.0,104.0,146.0,156.0,187.0,198.0,156.0,198.0,219.0,240.0,302.0,375.0,240.0,302.0,365.0,198.0
15,422.0,406.0,406.0,422.0,453.0,406.0,406.0,453.0,375.0,406.0,391.0,375.0,406.0,391.0,391.0,93.0,135.0,146.0,187.0,208.0,146.0,187.0,208.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
16,422.0,406.0,391.0,406.0,422.0,406.0,406.0,422.0,391.0,391.0,391.0,391.0,406.0,391.0,391.0,93.0,135.0,146.0,198.0,229.0,146.0,187.0,229.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
17,422.0,406.0,391.0,375.0,375.0,406.0,406.0,422.0,391.0,391.0,391.0,406.0,406.0,391.0,406.0,93.0,135.0,146.0,198.0,240.0,146.0,187.0,229.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
