,Head x,Neck x,Right Shoulder x,Right Elbow x,Right Wrist x,Left Shoulder x,Left Elbow x,Left Wrist x,Right Hip x,Right Knee x,Right Ankle x,Left Hip x,Left Knee x,Left Ankle x,Chest x,Head y,Neck y,Right Shoulder y,Right Elbow y,Right Wrist y,Left Shoulder y,Left Elbow y,Left Wrist y,Right Hip y,Right Knee y,Right Ankle y,Left Hip y,Left Knee y,Left Ankle y,Chest y
0,422.0,422.0,406.0,375.0,375.0,422.0,422.0,391.0,406.0,391.0,391.0,406.0,391.0,391.0,406.0,83.0,125.0,146.0,198.0,250.0,146.0,187.0,240.0,250.0,323.0,396.0,240.0,323.0,396.0,198.0
1,422.0,422.0,406.0,391.0,375.0,422.0,422.0,391.0,406.0,391.0,391.0,406.0,391.0,391.0,406.0,83.0,125.0,146.0,198.0,250.0,146.0,187.0,240.0,250.0,323.0,396.0,240.0,323.0,396.0,198.0
2,422.0,422.0,406.0,391.0,391.0,406.0,406.0,391.0,422.0,391.0,391.0,406.0,391.0,391.0,406.0,83.0,125.0,146.0,198.0,250.0,146.0,187.0,250.0,250.0,323.0,396.0,240.0,323.0,396.0,198.0
3,422.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,391.0,391.0,391.0,375.0,391.0,391.0,391.0,83.0,125.0,146.0,208.0,260.0,146.0,208.0,260.0,250.0,323.0,396.0,250.0,323.0,386.0,198.0
4,422.0,406.0,406.0,406.0,438.0,406.0,422.0,406.0,391.0,406.0,391.0,406.0,406.0,391.0,406.0,83.0,125.0,146.0,187.0,250.0,135.0,187.0,260.0,240.0,313.0,396.0,240.0,313.0,396.0,187.0
5,438.0,406.0,406.0,422.0,453.0,406.0,422.0,422.0,391.0,406.0,391.0,391.0,406.0,391.0,391.0,83.0,135.0,146.0,198.0,240.0,146.0,198.0,198.0,240.0,313.0,396.0,240.0,313.0,386.0,187.0
6,438.0,406.0,406.0,438.0,453.0,391.0,391.0,422.0,391.0,406.0,391.0,375.0,406.0,391.0,391.0,93.0,146.0,156.0,208.0,219.0,156.0,198.0,208.0,250.0,323.0,396.0,240.0,313.0,375.0,198.0
7,438.0,406.0,406.0,453.0,453.0,391.0,391.0,422.0,375.0,422.0,391.0,375.0,406.0,375.0,391.0,114.0,156.0,166.0,219.0,219.0,166.0,198.0,208.0,250.0,323.0,396.0,250.0,323.0,375.0,208.0
8,438.0,406.0,422.0,438.0,453.0,406.0,391.0,391.0,375.0,422.0,391.0,375.0,406.0,375.0,391.0,125.0,166.0,177.0,208.0,219.0,166.0,208.0,229.0,260.0,333.0,396.0,260.0,323.0,375.0,219.0
9,438.0,422.0,422.0,453.0,438.0,406.0,391.0,391.0,360.0,422.0,391.0,360.0,422.0,375.0,391.0,135.0,177.0,187.0,219.0,219.0,187.0,219.0,240.0,271.0,333.0,396.0,260.0,333.0,375.0,229.0
