,Head x,Neck x,Right Shoulder x,Right Elbow x,Right Wrist x,Left Shoulder x,Left Elbow x,Left Wrist x,Right Hip x,Right Knee x,Right Ankle x,Left Hip x,Left Knee x,Left Ankle x,Chest x,Head y,Neck y,Right Shoulder y,Right Elbow y,Right Wrist y,Left Shoulder y,Left Elbow y,Left Wrist y,Right Hip y,Right Knee y,Right Ankle y,Left Hip y,Left Knee y,Left Ankle y,Chest y
10,406.0,406.0,391.0,438.0,453.0,406.0,344.0,360.0,406.0,406.0,391.0,406.0,406.0,406.0,406.0,93.0,135.0,146.0,187.0,156.0,146.0,187.0,166.0,229.0,292.0,365.0,229.0,292.0,354.0,187.0
11,422.0,406.0,391.0,438.0,453.0,406.0,344.0,360.0,391.0,406.0,391.0,391.0,406.0,406.0,391.0,93.0,135.0,146.0,187.0,156.0,146.0,187.0,166.0,229.0,302.0,365.0,229.0,292.0,354.0,198.0
12,422.0,406.0,391.0,438.0,469.0,406.0,422.0,453.0,391.0,406.0,391.0,375.0,406.0,406.0,391.0,93.0,135.0,146.0,187.0,156.0,146.0,177.0,166.0,229.0,302.0,375.0,229.0,292.0,354.0,187.0
13,422.0,406.0,406.0,453.0,469.0,406.0,438.0,469.0,375.0,406.0,391.0,375.0,406.0,406.0,391.0,104.0,146.0,156.0,187.0,156.0,156.0,177.0,166.0,240.0,302.0,375.0,229.0,302.0,354.0,198.0
14,438.0,422.0,406.0,453.0,469.0,406.0,438.0,453.0,360.0,406.0,406.0,360.0,406.0,406.0,391.0,114.0,156.0,166.0,198.0,166.0,166.0,208.0,166.0,240.0,302.0,375.0,240.0,302.0,365.0,208.0
15,438.0,422.0,406.0,453.0,469.0,406.0,438.0,453.0,360.0,422.0,406.0,360.0,406.0,391.0,391.0,135.0,166.0,177.0,219.0,187.0,177.0,208.0,187.0,250.0,302.0,375.0,250.0,302.0,365.0,219.0
16,438.0,422.0,422.0,453.0,469.0,422.0,438.0,469.0,360.0,422.0,391.0,360.0,406.0,391.0,391.0,146.0,187.0,198.0,229.0,198.0,198.0,229.0,187.0,260.0,313.0,375.0,260.0,302.0,354.0,229.0
17,438.0,422.0,422.0,453.0,469.0,422.0,453.0,469.0,360.0,422.0,391.0,360.0,422.0,391.0,391.0,156.0,198.0,208.0,250.0,208.0,208.0,240.0,208.0,271.0,313.0,375.0,271.0,313.0,365.0,240.0
18,438.0,422.0,422.0,469.0,469.0,422.0,453.0,469.0,360.0,344.0,391.0,360.0,422.0,391.0,391.0,166.0,208.0,219.0,260.0,219.0,219.0,250.0,198.0,281.0,344.0,375.0,281.0,313.0,375.0,250.0
19,438.0,422.0,422.0,453.0,469.0,422.0,453.0,453.0,360.0,422.0,391.0,360.0,422.0,391.0,391.0,166.0,208.0,229.0,260.0,229.0,219.0,250.0,219.0,281.0,313.0,375.0,281.0,313.0,375.0,260.0
20,438.0,422.0,406.0,453.0,469.0,406.0,438.0,469.0,360.0,422.0,391.0,360.0,422.0,391.0,391.0,166.0,208.0,219.0,260.0,219.0,219.0,250.0,219.0,281.0,313.0,375.0,281.0,313.0,365.0,250.0
21,438.0,422.0,422.0,453.0,469.0,422.0,438.0,469.0,360.0,422.0,391.0,360.0,406.0,391.0,391.0,156.0,198.0,219.0,250.0,208.0,208.0,250.0,208.0,281.0,313.0,375.0,271.0,313.0,354.0,250.0
22,422.0,422.0,406.0,453.0,469.0,406.0,438.0,453.0,360.0,422.0,391.0,360.0,406.0,375.0,391.0,146.0,187.0,198.0,229.0,198.0,198.0,240.0,198.0,271.0,313.0,375.0,271.0,313.0,354.0,240.0
23,438.0,422.0,406.0,453.0,469.0,422.0,438.0,453.0,360.0,422.0,391.0,360.0,406.0,391.0,391.0,135.0,177.0,187.0,219.0,187.0,187.0,219.0,187.0,260.0,313.0,375.0,250.0,302.0,365.0,219.0
24,422.0,406.0,406.0,453.0,469.0,406.0,344.0,375.0,375.0,422.0,391.0,375.0,406.0,391.0,391.0,114.0,156.0,166.0,198.0,166.0,166.0,208.0,187.0,250.0,302.0,375.0,250.0,302.0,365.0,208.0
25,422.0,406.0,406.0,438.0,469.0,406.0,422.0,453.0,375.0,406.0,391.0,375.0,406.0,391.0,391.0,104.0,146.0,156.0,187.0,166.0,156.0,187.0,166.0,240.0,302.0,375.0,240.0,302.0,365.0,198.0
26,422.0,406.0,406.0,438.0,469.0,406.0,422.0,453.0,391.0,406.0,391.0,375.0,406.0,406.0,391.0,93.0,135.0,156.0,187.0,177.0,146.0,187.0,177.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
27,422.0,406.0,406.0,438.0,469.0,406.0,406.0,438.0,391.0,391.0,391.0,375.0,406.0,406.0,391.0,93.0,135.0,146.0,187.0,187.0,146.0,187.0,187.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
28,422.0,406.0,391.0,422.0,453.0,406.0,422.0,453.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,93.0,135.0,146.0,187.0,208.0,146.0,187.0,198.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
29,422.0,406.0,391.0,406.0,453.0,406.0,406.0,438.0,406.0,391.0,391.0,391.0,391.0,391.0,406.0,93.0,135.0,156.0,198.0,240.0,146.0,198.0,229.0,229.0,302.0,365.0,229.0,302.0,354.0,187.0
30,422.0,406.0,391.0,406.0,406.0,422.0,406.0,453.0,406.0,391.0,391.0,438.0,391.0,391.0,406.0,93.0,135.0,146.0,198.0,250.0,146.0,187.0,229.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
31,422.0,406.0,391.0,375.0,375.0,406.0,422.0,453.0,406.0,391.0,391.0,422.0,453.0,391.0,406.0,93.0,135.0,156.0,198.0,250.0,146.0,187.0,229.0,240.0,302.0,375.0,240.0,302.0,354.0,198.0
32,422.0,406.0,406.0,375.0,360.0,406.0,406.0,406.0,391.0,391.0,391.0,406.0,406.0,406.0,406.0,93.0,135.0,146.0,198.0,240.0,146.0,187.0,219.0,229.0,302.0,375.0,229.0,302.0,354.0,187.0
